time,people_detected
21:27:55,1
21:27:55,0
21:27:55,0
21:27:56,0
21:27:56,0
21:27:56,1
21:27:56,0
21:27:56,1
21:27:56,0
21:27:56,0
21:27:57,0
21:27:57,0
21:27:57,0
21:27:57,0
21:27:57,1
21:27:57,0
21:27:57,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:58,0
21:27:59,0
21:27:59,0
21:27:59,1
21:27:59,0
21:27:59,1
21:27:59,0
21:27:59,0
21:27:59,0
21:28:00,0
21:28:00,0
21:28:00,0
21:28:00,0
21:28:00,0
21:28:00,0
21:28:01,0
21:28:01,0
21:28:01,0
21:28:01,0
21:28:01,0
21:28:01,0
21:28:02,1
21:28:02,1
21:28:02,1
21:28:02,1
21:28:02,1
21:28:02,1
21:28:03,1
21:28:03,1
21:28:03,1
21:28:03,1
21:28:03,1
21:28:04,1
21:28:04,1
21:28:04,1
21:28:04,1
21:28:04,1
21:28:04,1
21:28:05,1
21:28:05,1
21:28:05,1
21:28:05,1
21:28:05,1
21:28:05,1
21:28:06,1
21:28:06,1
21:28:06,1
21:28:06,1
21:28:06,1
21:28:06,1
21:28:07,1
21:28:07,1
21:28:07,1
21:28:07,0
21:28:07,0
21:28:07,0
21:28:08,0
21:28:08,0
21:28:08,0
21:28:08,0
21:28:08,0
21:28:08,0
21:28:09,0
21:28:09,0
21:28:09,1
21:28:09,0
21:28:09,0
21:28:10,1
21:28:10,0
21:28:10,1
21:28:10,1
21:28:10,1
21:28:10,0
21:28:11,0
21:28:11,2
21:28:11,2
